email_text,label
Hi there! I wanted to follow up on our meeting yesterday.,0
CONGRATULATIONS! You have won 1 million dollars! Click here now!,1
Your shipment is on the way. Track it at example.com/track/123,0
URGENT ACTION REQUIRED! Verify your account immediately!!!,1
Meeting rescheduled to Friday at 2pm. See you then.,0
LIMITED TIME OFFER! Get 50% off everything today only!!!,1
Thank you for your purchase. Receipt attached.,0
Click here to claim your FREE prize NOW!!!,1
Please review the quarterly report attached.,0
Verify your password by clicking this link immediately!!!,1
Your appointment is scheduled for next Tuesday.,0
SPECIAL OFFER! Buy now and save BIG!!!,1
Project completed successfully. Let me know if you have questions.,0
You have won a gift card! Claim it now at bit.ly/giftcard,1
Thanks for attending the webinar yesterday.,0
